building_type_id,non_res_job_spaces_2000,non_res_job_spaces_2040
1.0,1087.0,1006.0
2.0,10655.0,10598.0
3.0,414667.0,728673.0
4.0,29900.0,26934.0
5.0,156958.0,151935.0
6.0,2366.0,2196.0
7.0,41276.0,41062.0
8.0,133095.0,140738.0
9.0,221.0,221.0
10.0,21995.0,13035.0
11.0,5028.0,4467.0
12.0,81520.0,70971.0
13.0,531543.0,894336.0
14.0,13365.0,12100.0
15.0,253.0,253.0
16.0,14428.0,13235.0
17.0,10134.0,8874.0
18.0,111030.0,110360.0
19.0,338951.0,314938.0
20.0,7321.0,6361.0
21.0,221938.0,381223.0
22.0,44518.0,43279.0
