building_type_id,non_res_sqft_2000,non_res_sqft_2040
1.0,7001574.0,6735072.0
2.0,26852276.0,26620116.0
3.0,184579961.0,361709232.0
4.0,1667150.0,1657923.0
5.0,24347963.0,24314323.0
6.0,3857913.0,3832225.0
7.0,20153017.0,19513140.0
8.0,77144545.0,89278415.0
9.0,32354.0,32354.0
10.0,2989817.0,2119639.0
11.0,2651.0,2192.0
12.0,53854289.0,48407803.0
13.0,174438200.0,271314468.0
14.0,29713865.0,26997635.0
15.0,564732.0,564732.0
16.0,30775129.0,28480319.0
17.0,12195680.0,11424261.0
18.0,59676614.0,59580356.0
19.0,2350825.0,2260139.0
20.0,7971400.0,7053709.0
21.0,189273601.0,369399194.0
22.0,17791541.0,16880318.0
