large_area_id,population_2023,population_2033,population_2043
1.0,50426.0,60767.0,74746.0
2.0,287188.0,321728.0,366618.0
3.0,365514.0,388516.0,430551.0
4.0,84493.0,99072.0,115293.0
5.0,77115.0,86736.0,106525.0
6.0,632727.0,656982.0,680750.0
7.0,553314.0,603914.0,664162.0
8.0,292793.0,315951.0,336025.0
9.0,208513.0,222440.0,246669.0
10.0,282392.0,316664.0,345928.0
11.0,61271.0,70268.0,80590.0
12.0,216950.0,231168.0,250019.0
13.0,135371.0,140242.0,142810.0
14.0,440732.0,514199.0,580039.0
15.0,70622.0,83763.0,94018.0
16.0,81412.0,95860.0,106676.0
17.0,149854.0,175537.0,196231.0
18.0,72213.0,83995.0,94404.0
