large_area_id,households_2000,households_2010,households_2020,households_2025,households_2030,households_2035,households_2040
1.0,13612.0,15485.0,18885.0,20341.0,22246.0,25071.0,28659.0
2.0,81769.0,91986.0,112156.0,118621.0,126527.0,137627.0,154399.0
3.0,106365.0,122115.0,143041.0,148287.0,153976.0,161518.0,175382.0
4.0,23134.0,25779.0,30604.0,32854.0,35499.0,39073.0,43463.0
5.0,26046.0,29490.0,32564.0,34708.0,38457.0,44668.0,49748.0
6.0,257817.0,297824.0,313117.0,321092.0,326886.0,332606.0,336230.0
7.0,169614.0,199799.0,223090.0,231753.0,240348.0,252128.0,269245.0
8.0,97005.0,105334.0,116174.0,119650.0,123159.0,127515.0,135624.0
9.0,68768.0,77292.0,86523.0,88983.0,92160.0,96244.0,105110.0
10.0,74323.0,85933.0,101836.0,107137.0,113059.0,120196.0,128816.0
11.0,15962.0,19082.0,21885.0,23259.0,25096.0,27576.0,30407.0
12.0,77244.0,84762.0,90343.0,92282.0,95201.0,100991.0,107827.0
13.0,48775.0,51078.0,54602.0,55518.0,56396.0,57270.0,58547.0
14.0,113618.0,130453.0,160129.0,173094.0,187260.0,203826.0,226305.0
15.0,20528.0,23143.0,27414.0,29502.0,31833.0,34412.0,37742.0
16.0,21960.0,24492.0,31777.0,34318.0,36983.0,40143.0,44224.0
17.0,43317.0,47231.0,63046.0,67555.0,71574.0,76096.0,82990.0
18.0,20948.0,23415.0,28586.0,30682.0,32864.0,35327.0,38317.0
