large_area_id,singlefamily_households_2000,singlefamily_households_2010,singlefamily_households_2020,singlefamily_households_2025,singlefamily_households_2030,singlefamily_households_2035,singlefamily_households_2040
1.0,13418.0,15498.0,17597.0,18720.0,20193.0,22605.0,26191.0
2.0,58702.0,67038.0,75078.0,78822.0,82590.0,87109.0,94367.0
3.0,87096.0,97960.0,107213.0,110151.0,112895.0,115312.0,118131.0
4.0,21982.0,25643.0,28495.0,30201.0,32442.0,35480.0,40163.0
5.0,20438.0,20311.0,22809.0,22926.0,22849.0,22644.0,22706.0
6.0,134941.0,132420.0,141391.0,141196.0,141329.0,141462.0,141919.0
7.0,113548.0,125881.0,144454.0,149774.0,154057.0,157688.0,162302.0
8.0,62765.0,62608.0,71571.0,74634.0,77450.0,79671.0,81339.0
9.0,32350.0,35165.0,42228.0,44501.0,46191.0,47680.0,50312.0
10.0,62633.0,73197.0,84973.0,90232.0,95523.0,101053.0,107090.0
11.0,14786.0,18255.0,20108.0,21156.0,22488.0,24504.0,27639.0
12.0,53510.0,53533.0,58986.0,60202.0,61284.0,61883.0,62714.0
13.0,30525.0,28905.0,32500.0,33330.0,34166.0,34913.0,35413.0
14.0,94407.0,113162.0,131353.0,142690.0,155298.0,169608.0,188802.0
15.0,18429.0,21052.0,24385.0,26146.0,28334.0,30979.0,34182.0
16.0,21189.0,24144.0,27315.0,29440.0,31835.0,34560.0,37477.0
17.0,39610.0,42658.0,50083.0,54116.0,57772.0,61419.0,65310.0
18.0,20592.0,23994.0,26649.0,28204.0,29967.0,32153.0,34623.0
